id,size_gt,size_tg,comparison
17009,4.25X6.5,4.25X6.5,True
31794,15x9cm folded;15x18cm open,,False
16783,7.25X12.75,,False
19732,5.5X8.5,,False
33052,28x17.5cm,,False
23102,5.25X8,5.25X8,True
14110,3.75 X 6,,False
34345,22x13.5cm,,False
21454,4.5X6.75,,False
26252,4.5 X 7.5,,False
16939,5.5 X 8.5,,False
13812,7 X 11,,False
14450,3.5X5.25,,False
21698,5.5 X 9.5,,False
24319,,,True
29808,21.5x14cm folded;21.5x28cm open,,False
20188,5.25 X 7.75,,False
34427,16.5x10cm folded;16.5x20cm open,,False
26880,10 x 12.5 inches,,False
30223,30x22cm folded;30x44cm open,,False
21658,6 X 9, 6 X 9,True
30574,28x20.5cm folded;28x41cm open,,False
31053,19.5x14cm,,False
26288,6X10,,False
22701,6.25X10.0,,False
30411,27x16cm folded;27x31.5cm open,,False
28675,34x24cm folded;34x48cm open,,False
27707,11 x 7 inches,,False
13250,4.75X6.25,,False
24815,5.25X8, 5.25X8,True
24183,5.25X8, 5.25X8,True
20905,5.5 X 7.75,,False
28479,21.5x10.5cm folded;21.5x30cm open,,False
19899,6.5 X 7.75,,False
31137,34x23cm,,False
28600,36x27cm folded;36x52cm open,,False
26358,5.5 x 8 inches,,False
20950,5X7.25,,False
23045,5 X 8,,False
30195,27.5x20.5cm folded;27.5x41cm open,,False
30537,31x23cm,,False
12960,4X5.5,4X5.5,True
20115,5.5X8.25,5.5X8.25,True
31183,28x17.5cm,,False
33748,18x12cm folded;18x26.5cm open,,False
33736,25x14cm,,False
21204,7.75X10, 7.75X10,True
31744,26x18.5cm folded;26x37cm open,,False
25679,5.75X9,,False
23659,8.5X6.5, 8.5X6.5,True
30052,23.5x15.5cm folded;23.5x30.5cm open,,False
14009,5.25 X 8.25, 5.25 X 8.25,True
27235,8 x 5 inches folded,,False
34080,21.5x13.5cm,,False
32927,16.5x21.5cm,,False
20484,10.25 X 9.5, 10.25 X 9.5,True
21673,8.5 X 5,,False
31474,20x14cm folded;20x28cm open,,False
24904,4.75X6.5, 4.75X6.5,True
22289,5.5 X 8.5,,False
28426,38x24cm,,False
21942,6.5X3.5,,False
33871,13.5x8cm,,False
33658,27x20cm folded;27x40cm open,,False
21031,4X6,,False
33591,15x12cm folded;15x24cm open,,False
28355,21x10cm folded;21x39.5cm open,,False
31442,24x16.5cm folded;24x33cm open,,False
31428,16x10cm,,False
25792,7.25 X 10.25,,False
13275,5.5X6.75, 5.5X6.75,True
34342,16.5x8.5cm,,False
32462,33x18cm,,False
30420,17.5x11.5cm,,False
24753,5.25X8.25,,False
14500,4.5X6.25,,False
32800,27.5x17cm folded;27.5x34cm open,,False
21438,5 X 7,,False
27174,11 x 8 inches folded,,False
32620,33x18cm,,False
28243,30x22.5cm folded;30x45cm open,,False
13703,5.5X8.25, 5.5X8.25,True
21063,4.5X8, 4.5X8,True
26731,6 x 9 inches,,False
31455,21.5x15.5cm folded,,False
33125,31x13.5cm,,False
16769,10.25X9.5,10.25X9.5,True
25092,4.5X8.75, 4.5X8.75,True
20405,5.5X6.75, 5.5X6.75,True
24874,5.5X8,5.5X8,True
27097,8.5 x 5.5 inches folded,,False
13050,3.5 X 5.75,,False
28814,28x22cm,,False
28667,33x25cm folded;33x50cm open,,False
14282,4.75X7,,False
17039,4.25X6.5, 4.25X6.5,True
31780,23.5x14cm folded;23.5x28.5cm open,,False
22266,4.6X7.25,,False
28380,24x16cm folded;24x31.5cm open,,False
20826,4 X 6.25,,False
